#             Isocronas PARSEC
# http://stev.oapd.inaf.it/cgi-bin/cmd
# Las magnitudes que se muestran son las absolutas.
#        age         M_B          M_V
#       (yr)        (mag)        (mag)
       1e+07       14.57          13
       1e+07       13.53       12.03
       1e+07       12.88       11.42
       1e+07       12.36       10.95
       1e+07        11.9       10.54
       1e+07       11.45       10.13
       1e+07       11.01       9.714
       1e+07       10.56       9.282
       1e+07       10.09       8.845
       1e+07       9.648       8.427
       1e+07       8.674       7.551
       1e+07        7.67       6.673
       1e+07       6.746        5.89
       1e+07       5.998       5.268
       1e+07       5.371       4.735
       1e+07       4.693       4.162
       1e+07       4.172       3.717
       1e+07       3.711       3.323
       1e+07        3.31       2.988
       1e+07       2.919       2.664
       1e+07       2.569       2.378
       1e+07        2.28       2.148
       1e+07       2.043       1.957
       1e+07       1.941       1.875
       1e+07       1.809       1.761
       1e+07       1.503       1.507
       1e+07       1.152       1.201
       1e+07        1.11       1.162
       1e+07       0.595       0.688
       1e+07       0.184         0.3
       1e+07      -0.162      -0.026
       1e+07      -0.453      -0.302
       1e+07      -0.728      -0.563
       1e+07      -1.218      -1.031
       1e+07      -1.348      -1.156
       1e+07      -1.642      -1.439
       1e+07      -2.158      -1.939
       1e+07       -2.43      -2.204
       1e+07      -3.044      -2.805
       1e+07      -3.429      -3.183
       1e+07      -3.688      -3.439
       1e+07      -4.255      -4.005
       1e+07       -4.48      -4.233
       1e+07      -4.735      -4.491
       1e+07      -5.293      -5.067
       1e+07      -5.593      -5.379
       1e+07      -5.759       -5.55
       1e+07      -5.758      -5.547
       1e+07       -5.67       -5.45
       1e+07      -5.628      -5.399
       1e+07      -5.612      -5.382
       1e+07      -5.649      -5.424
       1e+07      -5.733      -5.515
       1e+07      -5.806      -5.592
       1e+07       -5.88       -5.67
       1e+07      -5.958      -5.752
       1e+07      -6.035      -5.835
       1e+07      -6.127       -5.94
       1e+07      -6.213      -6.032
       1e+07      -6.295       -6.12
       1e+07      -6.328      -6.156
       1e+07      -6.405       -6.24
       1e+07      -6.477      -6.316
       1e+07      -6.552      -6.397
       1e+07      -6.642      -6.495
       1e+07      -6.716      -6.583
       1e+07      -6.779      -6.654
       1e+07       -6.87      -6.748
       1e+07      -6.952      -6.833
       1e+07      -7.044      -6.934
       1e+07      -7.114      -7.019
       1e+07       -7.16      -7.075
       1e+07      -7.224      -7.151
       1e+07      -7.284      -7.217
       1e+07      -7.344      -7.282
       1e+07      -7.422      -7.368
       1e+07      -7.482      -7.436
       1e+07      -7.517      -7.493
       1e+07      -7.556       -7.56
       1e+07      -7.602      -7.621
       1e+07      -7.611      -7.668
       1e+07      -7.587      -7.683
       1e+07      -7.505      -7.671
       1e+07      -7.423      -7.654
       1e+07      -7.353      -7.635
       1e+07      -7.267      -7.611
       1e+07      -7.172      -7.581
       1e+07      -7.063      -7.542
       1e+07      -6.938      -7.494
       1e+07      -6.755      -7.423
       1e+07      -6.608      -7.358
       1e+07      -6.467      -7.292
       1e+07       -6.25      -7.187
       1e+07      -6.021      -7.086
       1e+07      -5.884      -7.046
       1e+07      -5.792      -7.051
       1e+07      -5.769      -7.069
       1e+07      -5.746      -7.089
       1e+07      -5.705      -7.098
       1e+07      -5.643      -7.088
       1e+07      -4.553      -6.282
       1e+07      -4.511       -6.18
       1e+07      -4.621      -6.333
       1e+07      -4.698       -6.44
       1e+07      -4.726      -6.459
       1e+07      -4.829      -6.536
       1e+07      -4.893      -6.589
       1e+07      -5.108      -6.767
       1e+07       -5.25      -6.871
       1e+07      -5.447      -7.011
       1e+07      -5.625      -7.126
       1e+07      -5.931      -7.308
       1e+07        -6.2      -7.445
       1e+07      -6.316      -7.494
       1e+07      -6.472      -7.561
       1e+07       -6.57      -7.597
       1e+07      -6.636      -7.621
       1e+07      -6.701      -7.645
       1e+07      -6.723      -7.653
       1e+07      -6.626      -7.618
       1e+07      -6.541      -7.587
       1e+07      -6.456      -7.555
       1e+07      -6.368      -7.518
       1e+07      -6.291      -7.485
       1e+07      -6.218      -7.453
       1e+07      -6.146       -7.42
       1e+07      -6.064      -7.379
       1e+07      -5.995      -7.344
       1e+07      -5.927       -7.31
       1e+07      -5.858      -7.273
       1e+07      -5.782      -7.227
       1e+07      -5.702       -7.18
       1e+07      -5.628      -7.135
       1e+07      -5.475      -7.038
       1e+07      -5.378      -6.972
       1e+07      -5.261      -6.892
       1e+07      -5.172      -6.829
       1e+07      -5.071      -6.753
       1e+07      -4.996      -6.693
       1e+07      -4.871      -6.606
       1e+07      -4.859      -6.602
       1e+07       -4.69      -6.377
       1e+07       -4.62      -6.279
       1e+07      -4.599      -6.234
       1e+07      -4.665      -6.283
